,   ,都道府県コード   ,都道府県名   ,自殺者数   ,自殺死亡率   ,年換算した自殺死亡率   ,年齢 (10歳階級）別 20歳未満  ,年齢 (10歳階級）別 20-29  ,年齢 (10歳階級）別 30-39  ,年齢 (10歳階級）別 40-49  ,年齢 (10歳階級）別 50-59  ,年齢 (10歳階級）別 60-69  ,年齢 (10歳階級）別 70-79  ,年齢 (10歳階級）別 80歳以上  ,年齢 (10歳階級）別 不詳  ,同居人の有無 あり  ,同居人の有無 なし  ,同居人の有無 不詳  ,職業別 自営業・家族従業者  ,職業別 被雇用・勤め人  ,職業別 無職  ,職業別 無職 学生・生徒等 ,職業別 無職 無職者 ,職業別 無職  主婦,職業別 無職  失業者,職業別 無職  年金・雇用保険等生活者,職業別 無職  その他の無職者,職業別 不詳  ,場所別 自宅等  ,場所別 高層ビル  ,場所別 乗物  ,場所別 海（湖）・河川等  ,場所別 山  ,場所別 その他  ,場所別 不詳  ,手段別 首つり  ,手段別 服毒  ,手段別 練炭等  ,手段別 飛降り  ,手段別 飛込み  ,手段別 その他  ,手段別 不詳  ,自殺の時間帯別 0-2時  ,自殺の時間帯別 2-4時  ,自殺の時間帯別 4-6時  ,自殺の時間帯別 6-8時  ,自殺の時間帯別 8-10時  ,自殺の時間帯別 10-12時  ,自殺の時間帯別 12-14時  ,自殺の時間帯別 14-16時  ,自殺の時間帯別 16-18時  ,自殺の時間帯別 18-20時  ,自殺の時間帯別 20-22時  ,自殺の時間帯別 22-24時  ,自殺の時間帯別 不詳  ,自殺の曜日別 日曜  ,自殺の曜日別 月曜  ,自殺の曜日別 火曜  ,自殺の曜日別 水曜  ,自殺の曜日別 木曜  ,自殺の曜日別 金曜  ,自殺の曜日別 土曜  ,自殺の曜日別 不詳  ,原因・動機別 家庭問題  ,原因・動機別 健康問題  ,原因・動機別 経済・生活問題  ,原因・動機別 勤務問題  ,原因・動機別 男女問題  ,原因・動機別 学校問題  ,原因・動機別 その他  ,原因・動機別 不詳  ,自殺未遂歴の有無 あり  ,自殺未遂歴の有無 なし  ,自殺未遂歴の有無 不詳  ,year,month
40,,34,広島県,270,19.667,19.667,8,34,32,48,43,29,39,37,0,172,95,3,9,108,148,9,139,0,5,79,55,5,140,14,21,21,16,58,0,185,2,18,31,4,30,0,17,10,11,13,5,13,22,17,13,15,9,8,117,32,45,51,36,30,46,21,9,42,138,46,34,13,8,17,75,44,162,64,2020,0
41,,35,山口県,150,23.02909,23.02909,8,17,16,23,24,19,23,20,0,105,45,0,11,43,96,9,87,0,3,46,38,0,95,6,12,4,6,27,0,116,0,12,9,1,12,0,7,11,13,9,5,7,13,11,7,13,7,4,43,21,24,20,18,22,22,18,5,24,86,29,21,6,4,12,33,22,96,32,2020,0
42,,36,徳島県,71,20.00648,20.00648,3,7,4,13,13,12,9,10,0,48,23,0,4,16,50,4,46,0,4,16,26,1,40,0,3,8,4,16,0,56,3,5,2,0,5,0,1,1,3,10,0,3,6,2,3,2,2,0,38,10,9,12,10,10,10,7,3,6,19,13,5,5,2,3,34,8,52,11,2020,0
43,,37,香川県,111,23.36242,23.36242,8,13,15,13,14,16,22,10,0,74,37,0,6,39,64,9,55,0,6,40,9,2,70,6,4,6,9,16,0,78,3,6,10,1,13,0,17,11,3,10,8,8,8,5,11,3,7,3,17,12,17,12,16,16,20,15,3,8,41,16,8,9,4,9,26,16,82,13,2020,0
44,,38,愛媛県,160,24.61107,24.61107,3,15,17,28,21,26,29,21,0,108,52,0,14,59,87,2,85,0,4,35,46,0,84,2,7,8,10,49,0,126,1,7,9,2,15,0,14,15,12,14,7,6,11,10,12,8,5,4,42,20,31,24,24,22,17,15,7,13,41,26,7,2,1,6,92,18,114,28,2020,0
45,,39,高知県,89,26.56177,26.56177,5,8,12,12,7,14,15,16,0,56,33,0,7,28,54,5,49,0,3,26,20,0,49,5,9,4,5,17,0,62,2,8,9,0,8,0,8,6,2,9,6,8,9,4,11,4,7,3,12,14,19,12,17,12,7,7,1,13,29,14,7,2,2,8,35,10,65,14,2020,0
46,,40,福岡県,592,24.25124,24.25124,14,86,93,102,94,77,74,52,0,345,241,6,53,213,319,24,295,0,19,105,171,7,320,28,44,26,31,143,0,396,11,61,48,9,67,0,50,36,37,40,35,48,37,28,40,37,26,43,135,86,91,89,96,80,67,67,16,84,253,190,100,25,14,33,97,75,409,108,2020,0
47,,41,佐賀県,89,22.72849,22.72849,1,11,12,14,15,14,13,9,0,64,25,0,6,41,42,3,39,0,1,24,14,0,56,0,9,2,7,15,0,63,3,11,2,2,8,0,5,4,4,6,4,11,8,9,7,5,0,6,20,12,14,9,14,12,10,16,2,10,49,15,20,5,0,4,17,19,65,5,2020,0
48,,42,長崎県,149,23.40181,23.40181,3,12,15,29,27,30,14,19,0,104,45,0,19,56,72,2,70,0,1,27,42,2,91,3,9,3,15,28,0,117,2,11,6,0,13,0,5,8,7,12,14,8,14,12,19,7,4,8,31,22,21,27,22,22,17,16,2,16,61,24,20,3,0,20,55,30,99,20,2020,0
49,,43,熊本県,210,25.01423,25.01423,7,27,22,31,41,36,25,21,0,141,68,1,25,75,106,8,98,0,15,53,30,4,124,10,18,9,5,44,0,150,8,14,16,2,20,0,10,20,20,17,15,13,13,12,13,7,8,18,44,31,46,32,32,20,24,18,7,25,80,51,24,6,6,13,67,36,132,42,2020,0
50,,44,大分県,131,23.92039,23.92039,6,13,22,25,13,17,19,16,0,89,41,1,7,56,66,4,62,0,5,28,29,2,75,0,7,6,12,31,0,88,2,12,10,2,17,0,15,2,5,12,11,11,9,10,9,8,5,4,30,18,24,22,20,12,16,13,6,16,34,23,23,6,0,10,52,20,82,29,2020,0
51,,45,宮崎県,147,28.33134,28.33134,5,10,20,16,17,26,19,34,0,80,67,0,22,41,82,7,75,0,0,53,22,2,81,4,5,4,10,43,0,115,4,6,8,3,11,0,8,9,14,13,10,10,13,8,16,7,8,4,27,20,25,23,22,16,17,20,4,19,52,33,13,8,3,10,51,35,87,25,2020,0
52,,46,鹿児島県,218,28.33204,28.33204,10,25,23,36,35,26,30,33,0,132,86,0,16,82,118,8,110,0,3,70,37,2,138,4,17,7,13,39,0,177,4,15,6,1,15,0,5,13,12,17,18,23,16,20,10,16,3,4,61,31,31,31,29,29,41,19,7,22,86,27,25,6,1,9,90,44,157,17,2020,0
53,,47,沖縄県,155,21.20006,21.20006,1,10,14,20,36,38,21,15,0,95,58,2,16,43,95,1,94,0,10,39,45,1,96,4,4,8,6,37,0,116,1,6,16,0,16,0,1,2,6,6,9,2,8,7,8,3,4,5,94,20,24,28,20,16,19,17,11,21,85,20,10,6,1,13,41,33,91,31,2020,0
54,,99,不明,101,0,0,1,5,16,12,16,10,4,2,35,0,41,60,1,4,29,1,28,0,2,1,25,67,1,12,8,11,13,56,0,54,0,7,20,15,5,0,14,7,11,8,4,4,6,2,3,5,6,2,29,10,4,16,18,20,10,16,7,2,3,10,1,2,0,4,81,2,7,92,2020,0
